代码,名称,现价,涨跌幅%,成交额,成交额排名,上市板块,状态,分组,MA5,MA10,MA20,MA5向上,最近大阳线%,放量跌破MA5,MA5偏离率%,一手金额,当前本金,当前可用资金,本金是否可买,history_status,history_rows,history_last_date,history_error,流程阶段,筛选原因,提醒,规则状态,明日计划,备注
600176,中国巨石,74.6,9.997051017399,10491648821.0,1,主板,继续观察,观察,71.30999999999999,68.35999999999999,56.04,True,10.01,False,4.6136586733978495,7460.0,10000.0,10000.0,可以买,已有缓存,265,2026-07-03,,继续观察,MA5偏离率2%-5%,趋势仍强，等待回踩到MA5附近。,继续观察,,
002916,深南电路,465.41,10.0,5553047848.31,2,主板,继续观察,观察,445.718,443.233,420.57,True,10.0,False,4.418040106076041,46541.0,10000.0,10000.0,资金不足,已有缓存,265,2026-07-03,,继续观察,MA5偏离率2%-5%,趋势仍强，等待回踩到MA5附近。,继续观察,,
002747,埃斯顿,44.77,10.0,5392013785.58,3,主板,远离不追,观察,39.56,38.24,36.1625,True,10.01,False,13.169868554095046,4477.0,10000.0,10000.0,可以买,已有缓存,265,2026-07-03,,远离不追,MA5偏离率>7%,远离5日线，不追，等后续回踩。,远离不追,,
600580,卧龙电驱,37.35,10.014727540500731,2781149100.0,4,主板,远离不追,观察,33.89,34.029,35.232,True,10.01,False,10.20950132782532,3735.0,10000.0,10000.0,可以买,已有缓存,265,2026-07-03,,远离不追,MA5偏离率>7%,远离5日线，不追，等后续回踩。,远离不追,,
002536,飞龙股份,51.96,9.991532599491954,2488635925.27,5,主板,远离不追,观察,47.843999999999994,47.678,44.86,True,10.0,False,8.60295961876099,5196.0,10000.0,10000.0,可以买,已有缓存,265,2026-07-03,,远离不追,MA5偏离率>7%,远离5日线，不追，等后续回踩。,远离不追,,
002353,杰瑞股份,161.46,10.001362583458242,2131354161.66,6,主板,偏高不追,观察,153.214,158.861,155.09449999999998,False,10.0,False,5.3820146983957144,16146.0,10000.0,10000.0,资金不足,已有缓存,265,2026-07-03,,偏高不追,MA5偏离率5%-7%,位置偏高，不追，继续观察。,偏高不追,,
601168,西部矿业,30.06,9.98902305159166,1932125249.0,7,主板,远离不追,观察,27.67,28.475,29.5605,True,9.99,False,8.637513552584014,3006.0,10000.0,10000.0,可以买,已有缓存,265,2026-07-03,,远离不追,MA5偏离率>7%,远离5日线，不追，等后续回踩。,远离不追,,
600360,华微电子,15.29,8.439716312056735,2007413156.0,8,主板,偏高不追,观察,14.484,13.886,12.8595,True,9.99,False,5.564761115713885,1529.0,10000.0,10000.0,可以买,已有缓存,255,2026-07-03,,偏高不追,MA5偏离率5%-7%,位置偏高，不追，继续观察。,偏高不追,,
002850,科达利,226.16,10.000000000000002,1869036111.42,9,主板,远离不追,观察,198.264,190.918,190.817,True,10.0,False,14.07012871726586,22616.0,10000.0,10000.0,资金不足,已有缓存,265,2026-07-03,,远离不追,MA5偏离率>7%,远离5日线，不追，等后续回踩。,远离不追,,
002896,中大力德,85.62,9.994861253854062,1612782104.67,10,主板,远离不追,观察,77.59200000000001,76.713,80.65799999999999,True,10.0,False,10.346427466749136,8562.0,10000.0,10000.0,可以买,已有缓存,265,2026-07-03,,远离不追,MA5偏离率>7%,远离5日线，不追，等后续回踩。,远离不追,,
